testing_subject,accuracy,run_note
58,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
44,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
16,0.7142857313156128,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
52,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
109,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
69,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
73,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
47,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
72,0.7142857313156128,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
54,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
95,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
45,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
90,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
70,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
94,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
98,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
82,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
41,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
53,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
7,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
11,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
64,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
79,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
99,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
68,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
103,0.7142857313156128,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
60,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
3,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
77,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
1,0.7142857313156128,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
75,1.0,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
12,0.7142857313156128,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
87,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
4,0.7142857313156128,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
59,0.8571428656578064,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
84,0.5714285969734192,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_85_10_not_reg_2_run_3
