testing_subject,accuracy,run_note
26,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
87,0.625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
97,0.375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
9,0.5,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
15,0.40625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
108,0.6875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
20,0.46875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
32,0.6875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
13,0.5625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
106,0.625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
36,0.625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
19,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
28,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
85,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
107,0.71875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
64,0.7096773982048035,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
96,0.71875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
8,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
38,0.53125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
35,0.71875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
52,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
2,0.5625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
62,0.84375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
57,0.5,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
6,0.46875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
23,0.375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
84,0.5,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
11,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
86,0.53125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
7,0.625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
103,0.53125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
33,0.8125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
50,0.59375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
105,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
69,0.8125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
12,0.4375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
47,0.78125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
34,0.6774193644523621,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
3,0.84375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
73,0.5,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
40,0.4375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
18,0.6875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
93,0.5625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
82,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
43,0.5,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
98,0.625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
68,0.59375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
29,0.625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
55,0.8125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
24,0.5625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
58,0.59375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
44,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
66,0.4375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
91,0.71875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
102,0.36666667461395264,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
95,0.53125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
61,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
70,0.65625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
17,0.5,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
37,0.5806451439857483,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
53,0.78125,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
25,0.40625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
80,0.59375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
101,0.625,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
46,0.6875,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
72,0.6774193644523621,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
42,0.75,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
39,0.59375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
14,0.59375,processed9_moving_average_feet_v_fists_CSP_Single_Trial_LOO_tuned_trainingCSP_8_comp_run_1
